FRAME,TYPE,RMSD
113,Protein,8.1617431640625
114,Protein,8.598464965820313
115,Protein,8.487553596496582
116,Protein,8.473522186279297
117,Protein,8.372796058654785
118,Protein,7.841166973114014
119,Protein,8.303252220153809
120,Protein,8.77899169921875
121,Protein,8.889267921447754
122,Protein,9.809796333312988
123,Protein,9.56562328338623
124,Protein,10.277704238891602
125,Protein,10.635826110839844
126,Protein,10.319524765014648
127,Protein,10.23098373413086
128,Protein,9.967860221862793
129,Protein,9.308260917663574
130,Protein,9.376965522766113
131,Protein,9.490614891052246
132,Protein,9.288107872009277
133,Protein,9.343445777893066
134,Protein,8.968317985534668
135,Protein,8.770275115966797
136,Protein,9.07650375366211
137,Protein,8.948476791381836
138,Protein,8.731822967529297
139,Protein,8.34338092803955
140,Protein,8.24544906616211
141,Protein,7.867233753204346
142,Protein,8.387601852416992
143,Protein,8.004080772399902
144,Protein,7.89135217666626
145,Protein,7.866695404052734
146,Protein,8.129851341247559
147,Protein,7.744568347930908
148,Protein,7.818386077880859
149,Protein,7.877835750579834
150,Protein,7.625716686248779
151,Protein,7.711658477783203
152,Protein,8.036931991577148
153,Protein,7.465457439422607
154,Protein,7.186625003814697
155,Protein,7.374062538146973
156,Protein,7.1957244873046875
157,Protein,7.065643787384033
158,Protein,7.632412433624268
159,Protein,7.581653118133545
160,Protein,7.985434055328369
161,Protein,7.837714195251465
162,Protein,8.240704536437988
163,Protein,8.58870792388916
164,Protein,9.096506118774414
165,Protein,8.875829696655273
166,Protein,9.28431224822998
167,Protein,9.017133712768555
168,Protein,9.095802307128906
169,Protein,8.318309783935547
170,Protein,8.023064613342285
171,Protein,7.701938152313232
172,Protein,7.913625717163086
173,Protein,7.835348129272461
174,Protein,7.473631381988525
175,Protein,7.174704074859619
176,Protein,8.08500862121582
177,Protein,7.894300937652588
178,Protein,7.633059978485107
179,Protein,7.606302261352539
180,Protein,7.627325057983398
181,Protein,7.4961161613464355
182,Protein,7.848198890686035
183,Protein,7.762213230133057
184,Protein,7.496337413787842
185,Protein,7.836761951446533
186,Protein,7.493898391723633
187,Protein,7.934494495391846
188,Protein,7.9177327156066895
189,Protein,8.495200157165527
190,Protein,8.301676750183105
191,Protein,7.6368818283081055
192,Protein,7.562709331512451
193,Protein,7.4585676193237305
194,Protein,7.586302280426025
195,Protein,8.18805980682373
196,Protein,8.173356056213379
197,Protein,7.823366165161133
198,Protein,8.370355606079102
199,Protein,7.962600231170654
200,Protein,7.416047096252441
201,Protein,7.852126121520996
202,Protein,7.808536529541016
203,Protein,7.896424293518066
204,Protein,7.715948581695557
205,Protein,7.975695610046387
206,Protein,7.764288425445557
207,Protein,7.842376232147217
208,Protein,7.943609714508057
209,Protein,8.075257301330566
210,Protein,8.440101623535156
211,Protein,8.16860294342041
212,Protein,8.701961517333984
213,Protein,8.87216567993164
214,Protein,8.484254837036133
215,Protein,8.911481857299805
216,Protein,8.580236434936523
217,Protein,8.618371963500977
218,Protein,9.015196800231934
219,Protein,9.010577201843262
220,Protein,8.934629440307617
221,Protein,8.048874855041504
222,Protein,8.3553466796875
223,Protein,8.603073120117188
224,Protein,8.255242347717285
225,Protein,8.221306800842285
226,Protein,8.230426788330078
227,Protein,7.688704967498779
228,Protein,7.7722673416137695
229,Protein,7.6026716232299805
230,Protein,7.924868106842041
231,Protein,8.345841407775879
232,Protein,7.669848918914795
233,Protein,7.8221540451049805
234,Protein,8.040152549743652
235,Protein,7.9272356033325195
236,Protein,7.450401782989502
237,Protein,7.690075397491455
238,Protein,7.8957438468933105
239,Protein,8.119787216186523
240,Protein,7.719336986541748
241,Protein,7.344982147216797
242,Protein,7.291565895080566
243,Protein,7.434017658233643
244,Protein,7.490993976593018
245,Protein,8.16308307647705
246,Protein,8.338417053222656
247,Protein,8.221044540405273
248,Protein,8.503569602966309
249,Protein,8.345924377441406
250,Protein,8.174788475036621
251,Protein,9.015680313110352
252,Protein,9.122053146362305
253,Protein,9.157362937927246
254,Protein,8.746761322021484
255,Protein,8.628993034362793
256,Protein,9.396059036254883
257,Protein,9.422245025634766
258,Protein,9.319662094116211
259,Protein,9.039022445678711
260,Protein,8.635910034179688
261,Protein,8.758133888244629
262,Protein,9.529502868652344
263,Protein,8.93333911895752
264,Protein,9.801773071289063
265,Protein,9.844635009765625
266,Protein,9.879150390625
267,Protein,9.911126136779785
268,Protein,10.107030868530273
269,Protein,10.382739067077637
270,Protein,10.099808692932129
271,Protein,10.516480445861816
272,Protein,10.48617935180664
273,Protein,10.282370567321777
274,Protein,10.037430763244629
275,Protein,10.447805404663086
276,Protein,10.638875961303711
277,Protein,10.974803924560547
278,Protein,11.64688777923584
279,Protein,11.593683242797852
280,Protein,12.47939682006836
281,Protein,12.535338401794434
282,Protein,12.833956718444824
283,Protein,13.034332275390625
284,Protein,13.067843437194824
285,Protein,12.124690055847168
286,Protein,12.538718223571777
287,Protein,11.541672706604004
288,Protein,11.796295166015625
289,Protein,11.464885711669922
290,Protein,11.52912425994873
291,Protein,11.628847122192383
292,Protein,11.25154972076416
293,Protein,11.326692581176758
294,Protein,11.399776458740234
295,Protein,11.626387596130371
296,Protein,12.080345153808594
297,Protein,11.228883743286133
298,Protein,11.633941650390625
299,Protein,11.374226570129395
300,Protein,10.736486434936523
301,Protein,10.393847465515137
302,Protein,10.075039863586426
303,Protein,10.296972274780273
304,Protein,10.86026382446289
305,Protein,11.47811222076416
306,Protein,11.112220764160156
307,Protein,12.325287818908691
308,Protein,12.310232162475586
309,Protein,12.965130805969238
310,Protein,12.587945938110352
311,Protein,13.03998851776123
312,Protein,13.14473819732666
313,Protein,12.789335250854492
314,Protein,12.677125930786133
315,Protein,12.705673217773438
316,Protein,12.670778274536133
317,Protein,12.636495590209961
318,Protein,12.778786659240723
319,Protein,11.747649192810059
320,Protein,11.860761642456055
321,Protein,12.318482398986816
322,Protein,12.025732040405273
323,Protein,12.153265953063965
324,Protein,12.292248725891113
325,Protein,11.938780784606934
326,Protein,11.825952529907227
327,Protein,12.06468391418457
328,Protein,11.306602478027344
329,Protein,11.72567081451416
330,Protein,11.448488235473633
331,Protein,11.735315322875977
332,Protein,11.277345657348633
333,Protein,11.33830738067627
334,Protein,11.38391399383545
335,Protein,11.586101531982422
336,Protein,11.51828384399414
337,Protein,11.234527587890625
338,Protein,10.956781387329102
339,Protein,11.031813621520996
340,Protein,10.76265811920166
341,Protein,10.551959037780762
342,Protein,10.770903587341309
343,Protein,11.20436954498291
344,Protein,10.99648380279541
345,Protein,11.38007640838623
346,Protein,11.380268096923828
347,Protein,11.809871673583984
348,Protein,11.587111473083496
349,Protein,10.916829109191895
350,Protein,10.491339683532715
351,Protein,10.423937797546387
352,Protein,10.475747108459473
353,Protein,10.733413696289063
354,Protein,11.007198333740234
355,Protein,11.53901195526123
356,Protein,10.851129531860352
357,Protein,10.517098426818848
358,Protein,10.730685234069824
359,Protein,10.624411582946777
360,Protein,10.627341270446777
361,Protein,10.810038566589355
362,Protein,10.334548950195313
363,Protein,10.003643989562988
364,Protein,9.706594467163086
365,Protein,9.726086616516113
366,Protein,9.440265655517578
367,Protein,9.706396102905273
368,Protein,9.90264892578125
369,Protein,10.243514060974121
370,Protein,10.05885124206543
371,Protein,10.012882232666016
372,Protein,10.147891998291016
373,Protein,10.355857849121094
374,Protein,10.196215629577637
375,Protein,9.916935920715332
376,Protein,10.594913482666016
377,Protein,9.835561752319336
378,Protein,10.915567398071289
379,Protein,10.223089218139648
380,Protein,10.323735237121582
381,Protein,10.22516918182373
382,Protein,10.604938507080078
383,Protein,10.333189010620117
384,Protein,10.645881652832031
385,Protein,11.206924438476563
386,Protein,11.381401062011719
387,Protein,10.869161605834961
388,Protein,11.232975006103516
389,Protein,11.054859161376953
390,Protein,11.350232124328613
391,Protein,11.111047744750977
392,Protein,10.834168434143066
393,Protein,10.8517484664917
394,Protein,11.365375518798828
395,Protein,11.058005332946777
396,Protein,10.718430519104004
397,Protein,10.696198463439941
398,Protein,11.412872314453125
399,Protein,11.768839836120605
400,Protein,12.19006633758545
401,Protein,11.895869255065918
402,Protein,11.521955490112305
403,Protein,11.464800834655762
404,Protein,11.245485305786133
405,Protein,11.410959243774414
406,Protein,11.527441024780273
407,Protein,11.081535339355469
408,Protein,11.235496520996094
409,Protein,11.369684219360352
410,Protein,11.865239143371582
411,Protein,11.523953437805176
412,Protein,11.71766185760498
413,Protein,11.484171867370605
414,Protein,11.281524658203125
415,Protein,10.964348793029785
416,Protein,10.714930534362793
417,Protein,10.376679420471191
418,Protein,10.30722713470459
419,Protein,10.440766334533691
420,Protein,10.73778247833252
421,Protein,10.864947319030762
422,Protein,11.354972839355469
423,Protein,12.095929145812988
424,Protein,11.500239372253418
425,Protein,11.315966606140137
426,Protein,11.813867568969727
427,Protein,11.940805435180664
428,Protein,11.471824645996094
429,Protein,11.016509056091309
430,Protein,10.615975379943848
431,Protein,11.531547546386719
432,Protein,11.330584526062012
433,Protein,11.106721878051758
434,Protein,11.389545440673828
435,Protein,11.130311965942383
436,Protein,10.700380325317383
437,Protein,10.369722366333008
438,Protein,10.108860969543457
439,Protein,10.380230903625488
440,Protein,10.004741668701172
441,Protein,10.15217399597168
442,Protein,9.899957656860352
443,Protein,9.682235717773438
444,Protein,9.402810096740723
445,Protein,9.683720588684082
446,Protein,9.413413047790527
447,Protein,9.188968658447266
448,Protein,8.870261192321777
449,Protein,9.792753219604492
450,Protein,9.947940826416016
451,Protein,10.279759407043457
452,Protein,9.650734901428223
453,Protein,9.591241836547852
454,Protein,9.213423728942871
455,Protein,9.565622329711914
456,Protein,9.459851264953613
457,Protein,9.679522514343262
458,Protein,9.570210456848145
459,Protein,9.260269165039063
460,Protein,9.371174812316895
461,Protein,9.853428840637207
462,Protein,10.209283828735352
463,Protein,10.502642631530762
464,Protein,10.591282844543457
465,Protein,10.299487113952637
466,Protein,10.23221492767334
467,Protein,10.29984188079834
468,Protein,10.3457612991333
469,Protein,10.378028869628906
470,Protein,10.145421981811523
471,Protein,9.862504959106445
472,Protein,9.946494102478027
473,Protein,10.31607723236084
474,Protein,10.732369422912598
475,Protein,10.475929260253906
476,Protein,10.167301177978516
477,Protein,9.8705472946167
478,Protein,10.160643577575684
479,Protein,10.714776039123535
480,Protein,10.345625877380371
481,Protein,10.13388729095459
482,Protein,10.01170539855957
483,Protein,10.235187530517578
484,Protein,10.561562538146973
485,Protein,10.771120071411133
486,Protein,11.404664993286133
487,Protein,11.528011322021484
488,Protein,11.211125373840332
489,Protein,11.274566650390625
490,Protein,10.406311988830566
491,Protein,9.646899223327637
492,Protein,9.692176818847656
493,Protein,10.456299781799316
494,Protein,10.436928749084473
495,Protein,10.394189834594727
496,Protein,10.668136596679688
497,Protein,10.687052726745605
498,Protein,10.725298881530762
499,Protein,11.642840385437012
500,Protein,11.294913291931152
501,Protein,11.830920219421387
502,Protein,12.083413124084473
503,Protein,11.869394302368164
504,Protein,12.56431770324707
505,Protein,12.516783714294434
506,Protein,12.920775413513184
507,Protein,13.783970832824707
508,Protein,13.935585975646973
509,Protein,13.492456436157227
510,Protein,12.966935157775879
511,Protein,12.847965240478516
512,Protein,12.330032348632813
513,Protein,12.922577857971191
514,Protein,12.625856399536133
515,Protein,12.225868225097656
516,Protein,12.561111450195313
517,Protein,11.673792839050293
518,Protein,11.830037117004395
519,Protein,11.796385765075684
520,Protein,12.31907844543457
521,Protein,12.591279983520508
522,Protein,12.080473899841309
523,Protein,12.422892570495605
524,Protein,12.79770565032959
525,Protein,12.35179328918457
526,Protein,12.44860553741455
527,Protein,11.814139366149902
528,Protein,11.876782417297363
529,Protein,11.914713859558105
530,Protein,11.5947904586792
531,Protein,11.887480735778809
532,Protein,12.013540267944336
533,Protein,12.474418640136719
534,Protein,12.490748405456543
535,Protein,12.994244575500488
536,Protein,13.467732429504395
537,Protein,13.979485511779785
538,Protein,13.881248474121094
539,Protein,13.902902603149414
540,Protein,13.53868293762207
541,Protein,13.072527885437012
542,Protein,13.128129005432129
543,Protein,13.712613105773926
544,Protein,13.577037811279297
545,Protein,13.610631942749023
546,Protein,13.522540092468262
547,Protein,13.27304458618164
548,Protein,13.31430435180664
549,Protein,13.193025588989258
550,Protein,13.077505111694336
551,Protein,12.71605110168457
552,Protein,12.579537391662598
553,Protein,12.721470832824707
554,Protein,12.881514549255371
555,Protein,12.907793045043945
556,Protein,13.387853622436523
557,Protein,13.839513778686523
558,Protein,13.972311019897461
559,Protein,14.3910551071167
560,Protein,14.121301651000977
561,Protein,14.901839256286621
562,Protein,14.544739723205566
563,Protein,14.340963363647461
564,Protein,14.178093910217285
565,Protein,14.754117965698242
566,Protein,14.479799270629883
567,Protein,14.256509780883789
568,Protein,14.262983322143555
569,Protein,13.81147575378418
570,Protein,14.316666603088379
571,Protein,13.915281295776367
572,Protein,14.040180206298828
573,Protein,13.91670036315918
574,Protein,14.56701946258545
575,Protein,14.816452980041504
576,Protein,14.555167198181152
577,Protein,14.401838302612305
578,Protein,14.33309268951416
579,Protein,14.308538436889648
580,Protein,14.35920238494873
581,Protein,14.368227005004883
582,Protein,14.079532623291016
583,Protein,13.631295204162598
584,Protein,13.338346481323242
585,Protein,13.662796020507813
586,Protein,14.013182640075684
587,Protein,13.755495071411133
588,Protein,14.059530258178711
589,Protein,13.644530296325684
590,Protein,13.291094779968262
591,Protein,13.627917289733887
592,Protein,13.20041275024414
593,Protein,12.827960014343262
594,Protein,12.602587699890137
595,Protein,12.164972305297852
596,Protein,12.555630683898926
597,Protein,11.903031349182129
598,Protein,11.827871322631836
599,Protein,11.672235488891602
600,Protein,11.881052017211914
601,Protein,11.804073333740234
602,Protein,12.302550315856934
603,Protein,11.635401725769043
604,Protein,11.776163101196289
605,Protein,12.18513298034668
606,Protein,11.432759284973145
607,Protein,11.697687149047852
608,Protein,11.602628707885742
609,Protein,11.722371101379395
610,Protein,11.679587364196777
611,Protein,11.43243408203125
612,Protein,11.373608589172363
613,Protein,12.334047317504883
614,Protein,12.696328163146973
615,Protein,12.867557525634766
616,Protein,12.54343032836914
617,Protein,12.161982536315918
618,Protein,12.093002319335938
619,Protein,11.991591453552246
620,Protein,12.142269134521484
621,Protein,11.391796112060547
622,Protein,10.851204872131348
623,Protein,10.639046669006348
624,Protein,10.623309135437012
625,Protein,11.119590759277344
626,Protein,11.66992473602295
627,Protein,11.778797149658203
628,Protein,11.778797149658203
